primary,secondary,stress_level,n,avg_gross,avg_imdb
Collective Resilience,Comfort Nostalgia,Normal,17,55094662.5882353,6.923529411764706
Collective Resilience,Comfort Nostalgia,Elevated,3,26574448.333333332,7.433333333333334
Collective Resilience,Comfort Nostalgia,Stress,13,68758107.69230768,6.853846153846154
Collective Resilience,Dark Empathy,Normal,19,104416133.42105263,6.757894736842105
Collective Resilience,Dark Empathy,Elevated,5,116696219.2,6.4799999999999995
Collective Resilience,Dark Empathy,Stress,13,45143777.461538464,6.776923076923077
Collective Resilience,Dystopian Catharsis,Normal,2,66927514,6.6
Collective Resilience,Dystopian Catharsis,Elevated,2,150494952,6.4
Collective Resilience,Dystopian Catharsis,Stress,1,27818520,4.9
Collective Resilience,Heroic Escapism,Normal,22,175686026.04545456,6.745454545454545
Collective Resilience,Heroic Escapism,Elevated,10,119421376.1,6.47
Collective Resilience,Heroic Escapism,Stress,14,87487542.42857143,6.521428571428571
Collective Resilience,Humorous Escape,Normal,13,98882412.07692307,6.676923076923077
Collective Resilience,Humorous Escape,Elevated,6,56315772.5,6.75
Collective Resilience,Humorous Escape,Stress,10,71043772.7,6.3
Collective Resilience,Intelligent Rebellion,Normal,8,133745545.5,7.4375
Collective Resilience,Intelligent Rebellion,Stress,6,60532516,6.6
Collective Resilience,Redemptive Grit,Normal,51,48135775.5882353,6.792156862745098
Collective Resilience,Redemptive Grit,Elevated,5,28770017.2,6.08
Collective Resilience,Redemptive Grit,Stress,28,39654931.03571429,6.864285714285714
Comfort Nostalgia,Collective Resilience,Normal,24,58140268.625,6.566666666666666
Comfort Nostalgia,Collective Resilience,Elevated,4,27733865.75,6.5
Comfort Nostalgia,Collective Resilience,Stress,29,56177890.965517245,6.724137931034483
Comfort Nostalgia,Dark Empathy,Normal,7,42779509.428571425,6.957142857142857
Comfort Nostalgia,Dark Empathy,Elevated,2,34363179,6.800000000000001
Comfort Nostalgia,Dark Empathy,Stress,3,2187172,6.6000000000000005
Comfort Nostalgia,Heroic Escapism,Normal,13,145176926.15384614,6.253846153846154
Comfort Nostalgia,Heroic Escapism,Elevated,1,83527036,NA
Comfort Nostalgia,Heroic Escapism,Stress,8,73262095.75,6.375
Comfort Nostalgia,Humorous Escape,Normal,56,65857036.928571425,6.083928571428571
Comfort Nostalgia,Humorous Escape,Elevated,7,34656583.428571425,6.128571428571428
Comfort Nostalgia,Humorous Escape,Stress,38,64180150.73684209,6.21578947368421
Comfort Nostalgia,Intelligent Rebellion,Normal,2,10273658,6.9
Comfort Nostalgia,Redemptive Grit,Normal,29,80536043.2413793,6.755172413793104
Comfort Nostalgia,Redemptive Grit,Elevated,4,22784804.25,7.4
Comfort Nostalgia,Redemptive Grit,Stress,20,35299402.20000001,6.835
Dark Empathy,Collective Resilience,Normal,32,32940315.3125,6.719354838709678
Dark Empathy,Collective Resilience,Elevated,2,22021289.5,5.449999999999999
Dark Empathy,Collective Resilience,Stress,20,50540458.79999999,6.655
Dark Empathy,Comfort Nostalgia,Normal,6,14436899.666666666,7.233333333333333
Dark Empathy,Comfort Nostalgia,Elevated,2,39509208.5,7.25
Dark Empathy,Comfort Nostalgia,Stress,7,54527843,6.785714285714286
Dark Empathy,Dystopian Catharsis,Normal,98,56443252.77551022,6.164285714285715
Dark Empathy,Dystopian Catharsis,Elevated,12,14610568.833333332,6.133333333333334
Dark Empathy,Dystopian Catharsis,Stress,95,40571808,6.173404255319149
Dark Empathy,Heroic Escapism,Normal,7,70198563.57142857,6.6
Dark Empathy,Heroic Escapism,Elevated,1,10051091,5.8
Dark Empathy,Heroic Escapism,Stress,12,99986956.16666666,6.783333333333333
Dark Empathy,Humorous Escape,Normal,25,36744870,6.404166666666667
Dark Empathy,Humorous Escape,Elevated,7,11104806.571428573,6.4714285714285715
Dark Empathy,Humorous Escape,Stress,27,29903674.40740741,6.4
Dark Empathy,Intelligent Rebellion,Normal,64,31633425.5,6.822222222222222
Dark Empathy,Intelligent Rebellion,Elevated,12,23871298.333333336,6.158333333333333
Dark Empathy,Intelligent Rebellion,Stress,69,30417002.115942027,6.821739130434782
Dark Empathy,Redemptive Grit,Normal,189,25626816.77777777,6.695161290322581
Dark Empathy,Redemptive Grit,Elevated,48,30875816.833333336,6.775
Dark Empathy,Redemptive Grit,Stress,172,24945349.66860467,6.805847953216374
Dystopian Catharsis,Collective Resilience,Normal,22,100795842.22727272,6.277272727272727
Dystopian Catharsis,Collective Resilience,Elevated,7,61309983.85714286,6.142857142857143
Dystopian Catharsis,Collective Resilience,Stress,15,80693087.13333334,5.88
Dystopian Catharsis,Dark Empathy,Normal,107,47120892.26168223,5.744339622641509
Dystopian Catharsis,Dark Empathy,Elevated,28,48064484.0357143,5.860714285714286
Dystopian Catharsis,Dark Empathy,Stress,71,52720883,5.743661971830986
Dystopian Catharsis,Heroic Escapism,Normal,6,112682730.5,5.416666666666667
Dystopian Catharsis,Heroic Escapism,Elevated,2,62329058,6.15
Dystopian Catharsis,Heroic Escapism,Stress,4,53184112.25,6.45
Dystopian Catharsis,Humorous Escape,Normal,3,21205315,5.366666666666667
Dystopian Catharsis,Humorous Escape,Stress,1,52436136,7
Dystopian Catharsis,Intelligent Rebellion,Normal,6,52555521.16666667,6.5
Dystopian Catharsis,Intelligent Rebellion,Elevated,3,44999644,6.633333333333334
Dystopian Catharsis,Intelligent Rebellion,Stress,4,39462779,6.5
Dystopian Catharsis,Redemptive Grit,Stress,2,241964307.5,6.35
Heroic Escapism,Collective Resilience,Normal,142,144218009.10563383,6.512676056338028
Heroic Escapism,Collective Resilience,Elevated,37,102466359.5945946,6.178378378378379
Heroic Escapism,Collective Resilience,Stress,125,126593894.408,6.3752
Heroic Escapism,Comfort Nostalgia,Normal,14,47800456.071428575,6.357142857142857
Heroic Escapism,Comfort Nostalgia,Elevated,3,18533450.666666668,5.533333333333333
Heroic Escapism,Comfort Nostalgia,Stress,6,261126739.66666666,6.566666666666666
Heroic Escapism,Dark Empathy,Normal,33,133882529.96969697,6.5636363636363635
Heroic Escapism,Dark Empathy,Elevated,6,161214185.16666666,6.316666666666666
Heroic Escapism,Dark Empathy,Stress,32,110211878.84375,6.296774193548387
Heroic Escapism,Dystopian Catharsis,Normal,13,77082311.38461539,6.061538461538461
Heroic Escapism,Dystopian Catharsis,Elevated,1,23800298,5.1
Heroic Escapism,Dystopian Catharsis,Stress,11,51899945.90909091,6.127272727272727
Heroic Escapism,Humorous Escape,Normal,46,115645461.47826087,6.128260869565217
Heroic Escapism,Humorous Escape,Elevated,8,124650213.875,6.6125
Heroic Escapism,Humorous Escape,Stress,34,103463407.8235294,6.0588235294117645
Heroic Escapism,Intelligent Rebellion,Normal,23,101671744.73913044,6.004347826086956
Heroic Escapism,Intelligent Rebellion,Elevated,6,179954404.16666666,6.866666666666667
Heroic Escapism,Intelligent Rebellion,Stress,19,115426138.94736841,6.431578947368421
Heroic Escapism,Redemptive Grit,Normal,36,148258581.0833333,6.747222222222222
Heroic Escapism,Redemptive Grit,Elevated,10,129686823.20000002,6.1499999999999995
Heroic Escapism,Redemptive Grit,Stress,27,122128400.07407407,6.7407407407407405
Humorous Escape,Collective Resilience,Normal,103,90643224.65048544,5.9754901960784315
Humorous Escape,Collective Resilience,Elevated,28,77270224.17857142,5.878571428571429
Humorous Escape,Collective Resilience,Stress,61,84147068.26229508,6.019672131147541
Humorous Escape,Comfort Nostalgia,Normal,147,84222860.98639458,5.497278911564626
Humorous Escape,Comfort Nostalgia,Elevated,29,51385895.51724138,5.757142857142857
Humorous Escape,Comfort Nostalgia,Stress,117,64029801.60683759,5.646551724137931
Humorous Escape,Dark Empathy,Normal,15,23992192.266666666,5.9
Humorous Escape,Dark Empathy,Elevated,6,43104796,6.233333333333333
Humorous Escape,Dark Empathy,Stress,16,36308643.4375,6.075
Humorous Escape,Dystopian Catharsis,Normal,1,7694098,5.4
Humorous Escape,Heroic Escapism,Normal,58,84485393.18965517,6.003448275862069
Humorous Escape,Heroic Escapism,Elevated,13,116591976.07692307,6.107692307692307
Humorous Escape,Heroic Escapism,Stress,46,90038405.95652173,5.908695652173913
Humorous Escape,Intelligent Rebellion,Normal,93,52111119.25806452,6.053763440860215
Humorous Escape,Intelligent Rebellion,Elevated,12,54098496.33333333,6.391666666666667
Humorous Escape,Intelligent Rebellion,Stress,59,60185826.38983051,6.083050847457627
Humorous Escape,Redemptive Grit,Normal,56,61927030.66071429,6.008928571428571
Humorous Escape,Redemptive Grit,Elevated,8,48354244.125,5.725
Humorous Escape,Redemptive Grit,Stress,57,61478236.63157895,6.185714285714286
Humorous Escape,NA,Stress,1,39734269,3.6
Intelligent Rebellion,Collective Resilience,Normal,11,57974360.81818182,7.2
Intelligent Rebellion,Collective Resilience,Elevated,1,17282778,5
Intelligent Rebellion,Collective Resilience,Stress,11,37784751.18181818,6.627272727272727
Intelligent Rebellion,Comfort Nostalgia,Normal,3,6869281,6.333333333333333
Intelligent Rebellion,Comfort Nostalgia,Elevated,1,20118365,7.3
Intelligent Rebellion,Comfort Nostalgia,Stress,1,1345987,7.3
Intelligent Rebellion,Dark Empathy,Normal,66,38005319.74242424,6.722727272727273
Intelligent Rebellion,Dark Empathy,Elevated,16,29398890.125,6.64375
Intelligent Rebellion,Dark Empathy,Stress,45,52294203.599999994,6.788888888888889
Intelligent Rebellion,Dystopian Catharsis,Normal,8,70541688.75,6.4
Intelligent Rebellion,Dystopian Catharsis,Elevated,1,4290308,5.3
Intelligent Rebellion,Dystopian Catharsis,Stress,7,62330776,5.814285714285714
Intelligent Rebellion,Heroic Escapism,Normal,9,132532940.1111111,6.766666666666667
Intelligent Rebellion,Heroic Escapism,Elevated,1,47953524,7.3
Intelligent Rebellion,Heroic Escapism,Stress,6,96396068.33333333,6.65
Intelligent Rebellion,Humorous Escape,Normal,23,56436560.347826086,6.78695652173913
Intelligent Rebellion,Humorous Escape,Elevated,2,114717595,6.95
Intelligent Rebellion,Humorous Escape,Stress,28,24648091.75,6.946428571428571
Intelligent Rebellion,Redemptive Grit,Normal,11,21301749.545454547,6.872727272727273
Intelligent Rebellion,Redemptive Grit,Elevated,1,162573151,6.9
Intelligent Rebellion,Redemptive Grit,Stress,5,12407252.6,7.0600000000000005
Redemptive Grit,Collective Resilience,Normal,103,47368357.34951456,6.788349514563107
Redemptive Grit,Collective Resilience,Elevated,30,38355513.43333333,6.75
Redemptive Grit,Collective Resilience,Stress,75,30764564.186666664,6.644594594594595
Redemptive Grit,Comfort Nostalgia,Normal,30,49074061.53333335,6.82
Redemptive Grit,Comfort Nostalgia,Elevated,10,46382896.9,6.32
Redemptive Grit,Comfort Nostalgia,Stress,29,29859417.137931027,6.4862068965517246
Redemptive Grit,Dark Empathy,Normal,110,38788730.06363639,6.795454545454546
Redemptive Grit,Dark Empathy,Elevated,25,19323901.839999996,6.996
Redemptive Grit,Dark Empathy,Stress,90,30516216.200000003,6.564444444444445
Redemptive Grit,Dystopian Catharsis,Elevated,1,3192609,7.9
Redemptive Grit,Dystopian Catharsis,Stress,1,45971066,7.7
Redemptive Grit,Heroic Escapism,Normal,9,37284335.222222224,6.7
Redemptive Grit,Heroic Escapism,Elevated,7,36328081.28571428,6.614285714285715
Redemptive Grit,Heroic Escapism,Stress,10,68332673,6.51
Redemptive Grit,Humorous Escape,Normal,18,37263897.5,6.355555555555555
Redemptive Grit,Humorous Escape,Elevated,6,81977727.33333333,6.566666666666666
Redemptive Grit,Humorous Escape,Stress,14,41917251.7142857,6.671428571428572
Redemptive Grit,Intelligent Rebellion,Normal,12,37412839.58333333,7.116666666666667
Redemptive Grit,Intelligent Rebellion,Elevated,1,20455391,6
Redemptive Grit,Intelligent Rebellion,Stress,8,26437753,6.35
