term,estimate,std.error,statistic,p.value
(Intercept),-57660421.82381556,18328524.76477859,-3.1459390520408914,0.0016675209926318758
opening_theaters,45444.51187580604,1665.5866471690015,27.284387727920432,1.1976084417250474e-150
stress_levelElevated,4280045.415369925,18306348.44032772,0.23380115533807155,0.8151511432459464
stress_levelStress,2436700.655016993,12580756.131354555,0.19368475388725592,0.846432421909861
primaryComfort Nostalgia,-22497272.04575548,9317640.853707852,-2.414481562336988,0.01580157377286984
primaryDark Empathy,-41546330.22076359,7546092.984318243,-5.505674301536203,3.904926553428822e-8
primaryDystopian Catharsis,-37507439.309724845,9107510.400912318,-4.1182977189867,3.8927947831823236e-5
primaryHeroic Escapism,12026121.89938744,7928131.156529812,1.5168924002326094,0.12937172596957042
primaryHumorous Escape,-24831112.348448623,7446520.468190684,-3.334592640216291,8.619108567544417e-4
primaryIntelligent Rebellion,-31732890.170086466,9318042.918938996,-3.405531660043024,6.667632760556261e-4
primaryRedemptive Grit,-31920598.342261776,7981312.90159975,-3.9994169801140997,6.462895785881282e-5
sentiment_at_release,424296.07341857173,174731.1937601676,2.4282789139582692,0.015213842474230087
opening_theaters:stress_levelElevated,-8678.393520532143,3725.015478979663,-2.3297603914680334,0.01986761352324869
opening_theaters:stress_levelStress,-6504.806648048728,2390.7511991929073,-2.7208212423963993,0.006539761450834294
stress_levelElevated:primaryComfort Nostalgia,21506032.519757576,24672666.55001975,0.8716541633697215,0.38344862609018815
stress_levelStress:primaryComfort Nostalgia,18821755.261635233,14564711.521522539,1.2922847962915012,0.19633209934954368
stress_levelElevated:primaryDark Empathy,21051828.481552728,17920435.261146106,1.1747386809959857,0.2401681897281585
stress_levelStress:primaryDark Empathy,20987573.77684455,11757860.280922238,1.7849824096734692,0.07433882397902315
stress_levelElevated:primaryDystopian Catharsis,11253361.812411457,20248913.75488472,0.5557513824511583,0.5784114555323174
stress_levelStress:primaryDystopian Catharsis,23609587.40371995,14473996.401195316,1.631172673344743,0.1029314692618569
stress_levelElevated:primaryHeroic Escapism,22375731.903455403,18090582.08900926,1.2368718592559573,0.21620621531084522
stress_levelStress:primaryHeroic Escapism,19117562.259670097,12421033.634505685,1.5391281291245702,0.12385096683834132
stress_levelElevated:primaryHumorous Escape,22098638.93765477,17340570.79787555,1.2743893609524173,0.20259841471205547
stress_levelStress:primaryHumorous Escape,15979158.54881328,11805852.823554125,1.353494642668499,0.17597302600775747
stress_levelElevated:primaryIntelligent Rebellion,25420365.56358095,23026424.9102398,1.1039649299738479,0.269673791719214
stress_levelStress:primaryIntelligent Rebellion,18023400.15224922,14468940.61835921,1.2456613533529788,0.21296064535256162
stress_levelElevated:primaryRedemptive Grit,17587494.91255239,18137787.694993746,0.9696604243199273,0.33227355823481486
stress_levelStress:primaryRedemptive Grit,16801028.395548113,12494521.847334879,1.3446715769384825,0.178806451244381
